,CRIM,ZN,INDUS,CHAS,NOX,RM,AGE,DIS,RAD,TAX,PIRATIO,B,LSTAT,MEDV
0,0.00632,18,2.31,0,0.538,6.205,65.2,3.1025,1,296,15.3,396.9,4.98,24
1,0.02731,0,7.07,0,0.469,6.421,78.9,4.9671,2,242,19.05,396.9,11.265,21.6
2,0.02729,0,7.07,0,0.538,6.205,61.1,4.9671,2,242,17.8,392.83,4.03,34.7
3,0.26938,0,2.18,0,0.458,6.998,45.8,6.0622,3,222,19.05,394.63,2.94,33.4
4,0.06905,0,2.18,0,0.458,7.147,77.7,6.0622,3,222,18.7,391.34,5.33,36.2
5,0.26938,0,2.18,0,0.458,6.43,58.7,6.0622,3,335,18.7,394.12,11.265,28.7
6,0.08829,12.5,7.87,0,0.524,6.012,66.6,5.5605,5,311,15.2,391.34,12.43,22.9
7,0.14455,0,9.69,0,0.524,6.172,96.1,5.9505,5,311,15.2,391.34,11.265,27.1
8,0.21124,12.5,7.87,0,0.524,5.631,100,6.0821,5,311,19.05,386.63,29.93,16.5
9,0.17004,12.5,7.87,0,0.524,6.004,85.9,3.1025,5,311,15.2,386.71,17.1,18.9
10,0.22489,0,7.87,0,0.524,6.377,77.7,6.3467,5,311,15.2,392.52,20.45,15
11,0.11747,12.5,7.87,0,0.524,6.009,82.9,6.2267,5,311,19.05,396.9,13.27,18.9
12,0.09378,12.5,7.87,0,0.524,5.889,39,5.4509,5,335,15.2,390.5,11.265,21.7
13,0.26938,0,8.14,0,0.538,5.949,61.8,4.7075,4,307,21,396.9,8.26,20.4
14,0.63796,0,9.69,0,0.538,6.096,84.5,4.4619,4,307,21,380.02,10.26,18.2
15,0.26938,0,8.14,0,0.538,6.205,56.5,4.4986,4,335,21,395.62,8.47,19.9
16,1.05393,0,8.14,0,0.538,5.935,29.3,4.4986,4,335,21,386.85,6.58,23.1
17,0.7842,0,8.14,0,0.538,5.99,81.7,4.2579,4,307,19.05,386.75,14.67,17.5
18,0.80271,0,8.14,0,0.538,5.456,36.6,3.7965,4,307,21,288.99,11.69,20.2
19,0.26938,0,8.14,0,0.538,5.727,69.5,3.7965,4,307,21,390.95,11.28,18.2
20,1.25179,0,9.69,0,0.538,5.57,98.1,3.7979,4,307,21,376.57,21.02,13.6
21,0.26938,0,9.69,0,0.538,5.965,77.7,4.0123,5,335,21,392.53,13.83,19.6
22,1.23247,0,8.14,0,0.538,6.142,91.7,3.9769,5,307,21,391.34,18.72,15.2
23,0.98843,0,8.14,0,0.538,5.813,77.7,4.0952,4,307,21,394.54,19.88,14.5
24,0.75026,0,8.14,0,0.538,5.924,94.1,4.3996,4,307,21,391.34,16.3,15.6
25,0.84054,0,8.14,0,0.538,5.599,85.7,4.4546,4,307,21,303.42,16.51,13.9
26,0.67191,0,8.14,0,0.538,6.205,77.7,4.682,4,307,21,376.88,14.81,16.6
27,0.95577,0,8.14,0,0.538,6.047,88.8,3.1025,4,307,21,306.38,17.28,14.8
28,0.77299,0,8.14,0,0.538,6.495,94.4,3.1025,4,335,21,391.34,11.265,18.4
29,1.00245,0,8.14,0,0.538,6.674,87.3,3.1025,5,335,21,391.34,11.98,21
30,1.13081,0,9.69,0,0.538,5.713,94.1,4.233,4,307,21,360.17,22.6,12.7
31,1.35472,0,8.14,0,0.538,6.205,100,3.1025,4,307,21,376.73,13.04,14.5
32,1.38799,0,9.69,0,0.538,6.205,82,3.99,4,307,21,232.6,27.71,13.2
33,1.15172,0,8.14,0,0.538,5.701,95,3.7872,4,335,21,391.34,18.35,13.1
34,1.61282,0,8.14,0,0.538,6.096,96.9,3.7598,5,335,21,248.31,20.34,13.5
35,0.06417,0,5.96,0,0.538,5.933,68.2,3.1025,5,335,19.2,396.9,9.68,18.9
36,0.09744,0,9.69,0,0.538,5.841,61.4,3.1025,5,279,19.2,377.56,11.41,20
